month,typical_name_gender,share_of_messages
2024-07-01,feminine,0.421
2024-07-01,masculine,0.579
2024-08-01,feminine,0.425
2024-08-01,masculine,0.575
2024-09-01,feminine,0.441
2024-09-01,masculine,0.559
2024-10-01,feminine,0.452
2024-10-01,masculine,0.548
2024-11-01,feminine,0.464
2024-11-01,masculine,0.536
2024-12-01,feminine,0.458
2024-12-01,masculine,0.542
2025-01-01,feminine,0.463
2025-01-01,masculine,0.537
2025-02-01,feminine,0.467
2025-02-01,masculine,0.533
2025-03-01,feminine,0.480
2025-03-01,masculine,0.520
2025-04-01,feminine,0.493
2025-04-01,masculine,0.507
2025-05-01,feminine,0.500
2025-05-01,masculine,0.500
2025-06-01,feminine,0.500
2025-06-01,masculine,0.500
2025-07-01,feminine,0.498
2025-07-01,masculine,0.502
2025-08-01,feminine,0.500
2025-08-01,masculine,0.500
2025-09-01,feminine,0.510
2025-09-01,masculine,0.490
2025-10-01,feminine,0.517
2025-10-01,masculine,0.483
2025-11-01,feminine,0.520
2025-11-01,masculine,0.480
2025-12-01,feminine,0.516
2025-12-01,masculine,0.484
2026-01-01,feminine,0.523
2026-01-01,masculine,0.477
2026-02-01,feminine,0.531
2026-02-01,masculine,0.469
2026-03-01,feminine,0.536
2026-03-01,masculine,0.464
2026-04-01,feminine,0.535
2026-04-01,masculine,0.465
2026-05-01,feminine,0.537
2026-05-01,masculine,0.463
2026-06-01,feminine,0.533
2026-06-01,masculine,0.467
