month,country,age_group,share_of_messages
2024-07-01,AE,18-24,0.120
2024-07-01,AE,25-34,0.486
2024-07-01,AE,35-44,0.293
2024-07-01,AE,45-54,0.085
2024-07-01,AE,55-64,0.017
2024-07-01,AE,65+,0.000
2024-07-01,AR,18-24,0.273
2024-07-01,AR,25-34,0.385
2024-07-01,AR,35-44,0.196
2024-07-01,AR,45-54,0.107
2024-07-01,AR,55-64,0.028
2024-07-01,AR,65+,0.011
2024-07-01,AT,18-24,0.203
2024-07-01,AT,25-34,0.428
2024-07-01,AT,35-44,0.248
2024-07-01,AT,45-54,0.068
2024-07-01,AT,55-64,0.044
2024-07-01,AT,65+,0.009
2024-07-01,AU,18-24,0.196
2024-07-01,AU,25-34,0.396
2024-07-01,AU,35-44,0.234
2024-07-01,AU,45-54,0.117
2024-07-01,AU,55-64,0.038
2024-07-01,AU,65+,0.018
2024-07-01,BD,18-24,0.374
2024-07-01,BD,25-34,0.480
2024-07-01,BD,35-44,0.097
2024-07-01,BD,45-54,0.050
2024-07-01,BD,55-64,0.000
2024-07-01,BD,65+,0.000
2024-07-01,BE,18-24,0.178
2024-07-01,BE,25-34,0.424
2024-07-01,BE,35-44,0.230
2024-07-01,BE,45-54,0.102
2024-07-01,BE,55-64,0.043
2024-07-01,BE,65+,0.023
2024-07-01,BG,18-24,0.218
2024-07-01,BG,25-34,0.474
2024-07-01,BG,35-44,0.169
2024-07-01,BG,45-54,0.061
2024-07-01,BG,55-64,0.048
2024-07-01,BG,65+,0.030
2024-07-01,BO,18-24,0.371
2024-07-01,BO,25-34,0.376
2024-07-01,BO,35-44,0.139
2024-07-01,BO,45-54,0.053
2024-07-01,BO,55-64,0.062
2024-07-01,BO,65+,0.000
2024-07-01,BR,18-24,0.230
2024-07-01,BR,25-34,0.395
2024-07-01,BR,35-44,0.244
2024-07-01,BR,45-54,0.092
2024-07-01,BR,55-64,0.028
2024-07-01,BR,65+,0.012
2024-07-01,CA,18-24,0.262
2024-07-01,CA,25-34,0.384
2024-07-01,CA,35-44,0.219
2024-07-01,CA,45-54,0.097
2024-07-01,CA,55-64,0.026
2024-07-01,CA,65+,0.012
